Produtividade_da_grua Produtividade_dos_RTGs

0.002338325382220345 0.001088131613508477
0.002152894934656563 9.259763159813174E-4
0.0038198192434700925 0.0016899806349897984
0.002222421594547208 9.028587727848033E-4
0.002245410104619593 9.722394267425044E-4
0.0020371065813112456 8.333617832636914E-4
0.002152931834792361 9.028423823322803E-4
0.002129814612751823 9.723066710388757E-4
0.0020139445687903327 8.333563732925515E-4
0.0021529746411687953 9.491608633109742E-4
0.0021528271822317804 9.490958545322903E-4
0.0021761794549083825 8.565812748043634E-4
0.0021760513482937524 9.028298147176207E-4
0.0021527914198666664 9.490800883283152E-4
0.0021761302900754572 9.260128893938116E-4
0.0020833411322524597 9.490776269150094E-4
0.002269117226672588 9.956330688461355E-4
0.002083417296629372 9.028141618727277E-4
0.0021997499955578852 9.49365787556561E-4
0.002083495967910421 8.333983871641684E-4
0.0021759472350304 9.953801181522043E-4
0.0025004174757369177 0.0012039047105399975
0.0022920752683357947 9.723955683848825E-4
0.002129959049607428 8.566139656029873E-4
0.002222241982747723 9.259341594782179E-4
0.0021529061851665 9.722802126558386E-4
0.002129784765597272 9.722930451639719E-4
0.0022454133345988898 0.001041686598525258
0.0020606928457192492 8.103848269682441E-4
0.002199254197369171 9.954518998618353E-4
